1:	INT. BARBIZON PLAZA THEATRE - DRESSING ROOM - NIGHT (1964):	['JAKE']
44:	INT. WORTH STREET BASEMENT - DAY:	['EAGAN', "EAGAN (CONT'D)"]
45:	INT. JAKE'S DRESSING ROOM - DAY:	['EAGAN walks over.', 'JAKE', 'EAGAN', 'JOEY', 'EAGAN', 'JAKE', 'EAGAN', 'JAKE', 'EAGAN', 'JAKE', 'EAGAN', 'JAKE', 'EACAN', 'JAKE', 'EAGAN']
46:	INT. MADISON SQUARE GARDEN - NIGHT (NOV.,):	['JAKE', 'AUDIENCE.', 'CROWD', 'TONY', 'JAKE']
47:	INT. JAKE'S DRESSING ROOM - MADISON SQUARE GARDEN - NIGHT:	['TONY', 'JAKE', 'REPORTER', 'HANDLER', 'JAKE']
48:	INT. PELHAM PARKWAY HOUSE - LIVING ROOM - DAY:	['JOEY', "JOEY (CONT'D)", 'JAKE', 'JOEY', 'JOEY pops to his feet.', "JOEY (CONT'D)", 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY']
49:	EXT. BOOK-CADILLAC HOTEL, DETROIT - DAY (1949):	None
50:	INT. BOOK-CADILLAC LOBBY - DAY:	['BELL CAPTAIN', 'DETROIT PROMOTER']
51:	INT. LAMOTTA'S SUITE - DAY:	None
52:	INTO is there sewing up a pork chop.:	['JOEY is on the phone.', 'JOEY', "JOEY (CONT'D)", 'JAKE', 'JOEY', 'JARS', 'DOCTOR', 'JOEY', 'DOCTOR', 'JOEY']
53:	INT. THE BEDROOM:	['JOEY', 'COMO', 'JAKE', 'COMO', 'JAKE', 'COMO', 'JAKE', 'COMO', "COMO (CONT'D)", 'VICKIE', 'JAKE', "JAKE (CONT'D)", 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', "JAKE (CONT'D)", "VICKIE's throat.", 'JOEY', 'JAKE']
54:	EXT. BRIGGS STADIUM - NIGHT (JUNE,):	['ANNOUNCER', 'PRE-FIGHT MONTAGE', 'ANGLE.', 'ANNOUNCER (V.O.)', 'JOE LOUIS (V.O.)']
55:	INTO injects a hypodermic needle filled with:	['ANGLE)', 'ANNOUNCER']
56:	INTO and his HANDLERS. He enters the stadium.:	None
57:	INT. BRIGGS STADIUM - NIGHT:	['ANNOUNCER', 'CHAMPIONS.', 'JAYE', 'JOE LOUIS', 'JOEY', 'ANNOUNCER', "JAKE's waist."]
58:	EXT. "JAKE LAMOTTA'S" - NIGHT (1956):	None
59:	INT. "JAKE LAMOTTA'S" - NIGHT:	['TYPES.', 'JAKE', "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)", "JAKE (CONT'D)"]
60:	INT. JAKE'S LIVING ROOM - DAY (1950):	['VICKIE', 'MOVING SHOT.', 'JOEY', 'VICKIE', 'JAKE', 'JOEY', 'JAKE', 'VICKIE', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JAKE leans over the TV.', "JAKE (CONT'D)", 'JOEY', 'JAKE stares at JOEY.', "JOEY (CONT'D)", 'JAKE looks up at JOEY.', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'PAUSE.', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY']
